tiempo,potencia_q
828,7.1
829,6.791
830,6.563
831,5.986
832,7.476
833,7.353
834,7.392
835,6.353
836,6.058
837,7.089
838,6.834
839,6.869
840,8.13
841,6.875
842,6.992
843,6.363
844,5.421
845,4.971
846,5.999
847,6.195
848,6.601
849,5.953
850,6.892
851,8.218
852,8.047
853,7.976
854,8.548
855,8.312
856,9.761
857,9.723
858,9.35
859,9.087
860,9.241
861,7.962
862,8.849
863,8.153
864,9.649
865,9.477
866,8.606
867,7.887
868,8.901
869,10.056
870,8.887
871,8.959
872,8.83
873,7.97
874,8.555
875,8.767
876,6.992
877,7.158
878,7.761
879,8.092
880,7.8
881,9.095
882,9.341
883,8.855
884,8.988
885,8.69
886,8.585
887,9.031
888,8.801
889,8.186
890,8.084
891,5.737
892,4.955
893,5.259
894,5.87
895,5.381
896,5.209
897,5.47
898,5.923
899,6.737
900,6.533
901,6.31
902,6.534
903,6.478
904,6.582
905,7.191
906,7.693
907,7.346
908,7.172
909,7.444
910,6.949
911,7.705
912,5.009
913,5.011
914,4.368
915,4.356
916,4.121
917,5.253
918,4.888
919,4.594
920,4.995
921,5.598
922,5.979
923,5.564
924,6.125
925,6.066
926,6.627
927,6.524
928,6.107
929,6.972
930,6.503
931,6.772
932,6.589
933,7.162
934,7.041
935,7.338
936,6.893
937,6.351
938,6.586
939,5.095
940,3.872
941,4.08
942,4.238
943,5.599
944,5.021
945,5.681
946,5.66
947,5.388
948,6.148
949,5.131
950,5.999
951,5.335
952,7.193
953,5.732
954,6.449
955,6.05
956,7.027
957,6.663
958,7.28
959,6.814
960,7.767
961,7.672
962,7.69
963,7.295
964,7.552
965,7.696
966,8.236
967,9.089
968,8.2
969,7.96
970,8.257
971,7.532
972,6.845
973,7.289
974,6.865
975,7.315
976,7.433
977,7.57
978,9.103
979,8.181
980,8.973
981,8.646
982,9.547
983,8.667
984,8.414
985,8.562
986,8.284
987,6.798
988,5.142
989,4.903
990,6.17
991,5.312
992,4.619
993,5.373
994,5.677
995,5.764
996,6.364
997,7.231
998,7.591
999,6.22
1000,8.099
1001,7.044
1002,7.081
1003,6.726
1004,7.119
1005,6.822
1006,7.049
1007,6.269
1008,5.671
1009,5.038
1010,4.383
1011,4.522
1012,4.607
1013,4.81
1014,5.51
1015,4.735
1016,3.532
1017,4.268
1018,4.942
1019,4.26
1020,3.712
1021,4.552
1022,3.992
1023,4.447
1024,5.304
1025,4.826
1026,5.648
1027,6.914
1028,6.481
1029,5.954
1030,5.957
1031,6.932
1032,5.907
1033,5.98
1034,6.84
1035,4.715
1036,3.231
1037,3.685
1038,4.815
1039,5.075
1040,5.714
1041,6.256
1042,8.337
1043,8.024
1044,8.407
1045,9.288
1046,8.721
1047,8.015
1048,8.763
1049,8.458
1050,10.12
1051,9.047
1052,9.012
1053,8.64
1054,9.295
1055,9.828
1056,9.054
1057,9.938
1058,8.718
1059,10.057
1060,10.292
1061,9.385
1062,10.588
1063,9.641
1064,9.285
1065,8.554
1066,8.441
1067,8.226
1068,8.354
1069,7.84
1070,7.937
1071,7.889
1072,7.804
1073,9.168
1074,8.741
1075,9.646
1076,10.055
1077,9.069
1078,9.017
1079,9.109
1080,9.14
1081,8.711
1082,9.115
1083,7.82
1084,5.865
1085,5.851
1086,6.542
1087,6.578
1088,5.853
1089,6.372
1090,6.11
1091,6.247
1092,6.39
1093,6.704
1094,6.335
1095,7.024
1096,5.234
1097,5.301
1098,5.365
1099,6.383
1100,6.496
1101,6.283
1102,6.047
1103,5.59
1104,5.292
1105,4.78
1106,4.82
1107,4.578
1108,4.121
1109,5.175
1110,5.036
1111,5.599
1112,6.196
1113,5.11
1114,5.378
1115,4.944
1116,4.22
1117,5.412
1118,4.807
1119,4.264
1120,4.624
1121,4.409
1122,6.937
1123,7.32
1124,6.11
1125,6.99
1126,6.453
1127,5.417
1128,5.666
1129,5.457
1130,6.441
1131,4.37
1132,4.194
1133,4.491
1134,4.873
1135,5.774
1136,5.812
1137,4.97
1138,6.334
1139,7.277
1140,7.761
1141,7.587
1142,8.039
1143,8.16
1144,8.601
1145,7.709
1146,9.132
1147,8.577
1148,9.341
1149,8.741
1150,8.081
1151,8.997
1152,9.011
1153,8.468
1154,7.838
1155,8.546
1156,9.519
1157,9.191
1158,8.452
1159,7.937
1160,7.692
1161,6.506
1162,6.371
1163,6.533
1164,5.829
1165,7.155
1166,7.71
1167,6.675
1168,7.609
1169,7.683
1170,8.338
1171,7.656
1172,8.646
1173,8.16
1174,7.954
1175,8.265
1176,8.045
1177,7.761
1178,7.746
1179,6.265
1180,5.994
1181,7.229
1182,6.843
1183,6.807
1184,7.19
1185,7.512
1186,6.934
1187,7.254
1188,6.822
1189,5.964
1190,7.005
1191,5.715
1192,6.646
1193,6.859
1194,6.496
1195,6.433
1196,6.167
1197,6.501
1198,5.157
1199,5.713
1200,5.639
1201,4.549
1202,4.041
1203,4.064
1204,3.769
1205,6.597
1206,6.617
1207,7.052
1208,7.567
1209,4.704
1210,5.556
1211,5.082
1212,4.425
1213,4.944
1214,5.164
1215,4.881
1216,5.513
1217,5.551
1218,7.905
1219,6.678
1220,7.413
1221,7.654
1222,7.431
1223,8.165
1224,7.31
1225,6.759
1226,7.009
1227,5.257
1228,4.176
1229,4.016
1230,4.615
1231,6.004
1232,6.404
1233,6.906
1234,7.027
1235,8.238
1236,7.693
1237,7.839
1238,8.234
1239,7.762
1240,8.032
1241,8.166
1242,8.732
1243,8.804
1244,9.107
1245,8.502
1246,7.633
1247,9.459
1248,6.775
1249,6.341
1250,7.338
1251,7.091
1252,6.795
1253,5.963
1254,5.685
1255,5.35
1256,5.847
1257,5.914
1258,5.171
1259,5.629
1260,5.837
1261,5.987
1262,6.115
1263,5.541
1264,5.169
1265,6.122
1266,6.499
1267,7.378
1268,6.412
1269,7.103
1270,7.068
1271,6.636
1272,6.255
1273,6.674
1274,6.25
1275,3.901
1276,3.484
1277,6.342
1278,4.308
1279,4.132
1280,4.783
1281,3.904
1282,4.082
1283,4.282
1284,4.494
1285,4.526
1286,4.489
1287,4.277
1288,4.494
1289,4.396
1290,4.166
1291,4.133
1292,4.483
1293,4.715
1294,4.143
1295,4.087
1296,3.422
1297,2.187
1298,1.964
1299,1.156
1300,1.862
1301,4.299
1302,3.463
1303,4.066
1304,3.765
1305,3.78
1306,4.11
1307,4.554
1308,4.604
1309,4.656
1310,4.51
1311,4.472
1312,4.356
1313,4.432
1314,4.901
1315,3.871
1316,5.1
1317,3.984
1318,3.979
1319,4.085
1320,4.022
1321,3.99
1322,3.43
1323,2.094
1324,0.87
1325,1.882
1326,2.849
1327,2.578
1328,2.742
1329,3.459
1330,4.166
1331,4.467
1332,5.035
1333,4.69
1334,4.717
1335,5.674
1336,5.238
1337,5.851
1338,4.784
1339,5.375
1340,4.669
1341,4.871
1342,5.13
1343,5.818
1344,5.849
1345,5.75
1346,4.956
1347,5.342
1348,5.809
1349,5.493
1350,5.847
1351,6.127
1352,6.008
1353,5.444
1354,5.116
1355,5.286
1356,4.616
1357,4.831
1358,4.251
1359,4.615
1360,4.561
1361,5.458
1362,5.115
1363,5.833
1364,5.173
1365,5.809
1366,4.809
1367,5.102
1368,5.546
1369,5.865
1370,5.323
1371,3.481
1372,3.735
1373,3.697
1374,3.578
1375,3.313
1376,3.065
1377,3.654
1378,3.306
1379,3.493
1380,3.508
1381,3.224
1382,3.013
1383,3.51
1384,3.416
1385,3.642
1386,3.551
1387,2.489
1388,2.774
1389,3.424
1390,3.585
1391,3.842
1392,2.056
1393,2.163
1394,1.997
1395,2.186
1396,2.142
1397,2.306
1398,2.202
1399,2.395
1400,3.208
1401,3.728
1402,3.587
1403,3.561
1404,3.428
1405,3.344
1406,3.105
1407,3.199
1408,3.233
1409,3.157
1410,3.573
1411,2.879
1412,3.471
1413,3.122
1414,3.088
1415,3.445
1416,3.581
1417,3.47
1418,3.102
1419,1.673
1420,1.681
1421,2.43
1422,2.058
1423,2.52
1424,3.795
1425,3.761
1426,4.262
1427,5.911
1428,6.389
1429,6.405
1430,6.388
1431,6.026
1432,6.344
1433,6.681
1434,7.061
1435,6.888
1436,6.399
1437,6.629
1438,5.391
1439,5.201
1440,5.484
1441,5.519
1442,5.83
1443,5.877
1444,5.952
1445,6.142
1446,5.297
1447,5.659
1448,5.315
1449,4.877
1450,5.153
1451,4.048
1452,4.683
1453,5.338
1454,5.11
1455,6.121
1456,5.727
1457,7.256
1458,6.692
1459,7.669
1460,7.12
1461,5.949
1462,6.103
1463,7.355
1464,7.661
1465,6.665
1466,6.119
1467,4.774
1468,4.013
1469,3.532
1470,2.899
1471,2.757
1472,2.967
1473,4.956
1474,3.233
1475,2.963
1476,3.291
1477,5.253
1478,5.172
1479,4.72
1480,5.127
1481,5.103
1482,5.284
1483,4.363
1484,4.732
1485,4.105
1486,3.822
1487,4.675
1488,4.671
1489,4.139
1490,3.776
1491,3.981
1492,3.539
1493,4.465
1494,6.045
1495,5.57
1496,5.252
1497,5.256
1498,5.881
1499,5.972
1500,5.551
1501,5.659
1502,5.572
1503,3.71
1504,3.784
1505,4.047
1506,5.015
1507,5.518
1508,5.016
1509,4.965
1510,5.367
1511,5.218
1512,5.911
1513,5.072
1514,5.67
1515,4.188
1516,3.213
1517,3.828
1518,3.972
1519,4.889
1520,5.645
1521,5.255
1522,6.06
1523,5.423
1524,5.928
1525,7.139
1526,6.354
1527,7.346
1528,7.182
1529,6.827
1530,7.521
1531,6.505
1532,6.168
1533,6.563
1534,6.066
1535,6.377
1536,6.29
1537,6.399
1538,6.953
1539,5.455
1540,6.519
1541,6.765
1542,6.227
1543,6.354
1544,5.723
1545,7.061
1546,6.625
1547,6.634
1548,6.396
1549,6.805
1550,6.631
1551,6.452
1552,6.709
1553,6.304
1554,6.219
1555,6.727
1556,6.957
1557,6.198
1558,6.34
1559,7.048
1560,7.149
1561,5.788
1562,6.934
1563,4.285
1564,3.874
1565,3.916
1566,3.619
1567,4.023
1568,5.478
1569,6.237
1570,6.781
1571,6.562
1572,6.027
1573,6.528
1574,5.797
1575,6.313
1576,5.486
1577,5.762
1578,6.802
1579,6.704
1580,6.198
1581,6.368
1582,5.657
1583,5.773
1584,4.98
1585,4.478
1586,4.63
1587,3.976
1588,6.126
1589,4.925
1590,5.897
1591,6.323
1592,5.908
1593,5.659
1594,5.99
1595,5.265
1596,5.764
1597,5.638
1598,6.093
1599,5.591
1600,5.684
1601,5.767
1602,4.745
1603,3.918
1604,4.255
1605,3.971
1606,5.608
1607,5.786
1608,6.722
1609,6.021
1610,5.363
1611,3.654
1612,2.786
1613,2.744
1614,3.047
1615,3.069
1616,3.172
1617,4.256
1618,4.875
1619,4.632
1620,4.713
1621,5.306
1622,4.888
1623,4.927
1624,5.078
1625,5.42
1626,5.924
1627,5.162
1628,5.167
